8 1
0 1 2
0 3 9
0 4 7
0 5 8
0 10 13
0 12 15
0 14 16
1 1 3
1 2 5
1 4 13
1 6 8
1 7 10
1 9 12
1 14 15
2 2 3
2 4 10
2 5 6
2 7 13
2 8 14
2 9 11
2 15 16
3 3 4
3 5 7
3 10 15
3 12 13
4 3 10
4 4 5
4 7 14
4 8 13
4 11 12
5 2 4
5 7 8
5 9 10
5 13 15
6 2 7
6 4 9
6 10 12
6 13 14
7 1 4
7 6 7
7 10 11
7 13 16
