9 1
0 1 2
0 4 12
0 5 6
0 7 15
0 8 16
0 10 13
0 11 14
1 1 6
1 2 3
1 5 10
1 7 14
1 8 11
1 12 15
2 1 10
2 2 11
2 3 4
2 5 13
2 6 7
2 8 15
3 1 9
3 2 10
3 3 6
3 4 11
3 5 14
3 7 12
4 2 5
4 3 8
4 6 9
4 7 10
4 11 16
5 2 7
5 3 12
5 6 11
5 9 10
6 2 9
6 3 10
6 6 15
6 7 16
6 11 12
7 4 7
7 6 13
7 9 14
7 10 11
8 3 11
8 6 14
8 7 8
8 10 15
